"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2017-07-11,4.27885973820609,5.758300417,-25.102418585,188.956437464286,54.2128902535714,0.1381930715,0.7662037115,0.22435595,0.49964401467194,1.9504305905,0.3989990125,21.211356195,12.57105,27.274,-3.06493911798999,0,2.89389583333333,252.048895833333,80240,28260,600,169560,4420
2017-07-17,4.4015412799333,6.9469443285,-24.98534349,181.476993633333,42.1818288733333,0.0754045635,0.5725234915,0.079564095,0.769744090299886,0.148634246,0.1557999425,11.157429485,17.2432,24.91195,-2.81058164917999,0,2.87933333333333,267.415208333333,1760,65940,4480,53380,400
2017-08-04,4.15118862024506,5.836277589,-25.183337245,255.629614583333,56.0614394041667,0.2368221345,0.789898832,0.484439253,0.641221303934999,5.6900365665,0.601128628,29.61522866,11.61185,27.75205,-2.94740772049775,0,1.82554166666667,157.4865625,99728,101500,6858,133000,25330
2017-08-08,4.26681795894911,4.525824249,-25.92891429,267.634882933333,55.23247435,0.16616048,0.9222332435,0.343913944,0.531784331604395,10.1647209,1.0426321585,34.58224202,11.6476,27.57605,-3.0432590187404,0,1.160375,177.509229166667,73366,48456,2920,571765,3492
2017-08-15,4.58532079927742,6.662331381,-24.03748839,303.06942365,60.629809345,1.0961880315,1.0977181135,0.3731098395,0.708638489738591,0.350224572,0.3474548115,24.68213084,15.487,26.82575,-3.01950440737478,1,2.47822916666667,231.317708333333,760280,25000,1332,415000,15888
2017-08-21,5.53410471236017,6.866215027,-25.30190435,413.393849370732,52.9999057496342,0.72195381,1.237249807,0.708471402,0.506662561208667,0.0954702525,0.374485669,21.42901375,15.85855,26.89435,-2.92804458839995,0,2.029875,214.943458333333,499280,10500,2360,259000,9320
2017-08-29,4.47754369381668,4.99450557,-26.056890905,295.79365955,64.567024865,0.289413011,1.2202377595,0.6784365075,0.463060495139766,2.2635547135,0.3648575505,30.036526415,13.88035,26.46395,-2.95089145883931,0,1.49795833333333,222.3981875,898600,35000,1640,42000,31620
2017-09-05,6.16954422711913,7.3970963725,-22.652038375,267.720733904762,32.8495414797619,1.334217082,0.09034478,0.173658418,0.632638795253963,0.6451271545,0.3189254935,18.79575134,13.3796,27.45545,-2.89339271082254,0,1.46214583333333,236.979166666667,2145976,9720,0,17496,10886
2017-09-12,4.20125367698721,5.112200701,-25.842661675,247.153296833333,47.9806661966667,0.164552956,1.7373481495,0.450303417,0.506370673267803,8.466770205,1.119279667,37.332026725,14.7924,27.51645,-3.21121431373566,0,0.834083333333333,203.483541666667,1440,59500,2360,1244250,3740
2017-09-18,4.81857083730727,4.731070176,-25.200228255,257.577307833333,37.4091599433333,0.361441289,1.7432232895,0.747068057,0.572856560967842,8.4562073395,1.095576844,35.968533865,13.56035,27.7245,-3.1390847339914,17.2,1.40075,212.067708333333,16810,245123,16953,1902500,3403
2017-09-26,4.32213099447571,6.1041404615,-23.293210585,355.250372892857,53.3409616464286,1.9256329195,0.757007427,0.5850323675,0.467304962612065,5.8670447765,0.962153039,35.776159835,13.5294,28.31945,-3.22352000142008,8,0.539354166666667,189.096666666667,206224,120559,4440,346121,1887
2017-10-11,4.51144401839288,6.943782576,-19.98365453,292.398226766667,62.2216149433333,6.124268384,0.245887134,0.36586754,0.570122141343766,9.703749914,1.2638123195,30.30148689,11.0554,28.35365,-3.34554920605194,7.4,1.348875,242.375,488948,30329,1000,83988,7066
2017-10-20,4.67609290733823,6.120325744,-23.77043251,96.7838659705882,26.5835546058824,0.267503897,0.20550851,0.1562329005,1.57682687026016,15.61161387,1.7460574395,41.07659229,10.84295,28.915,-4.04500569084838,39.4,2.493625,170.913333333333,16720,36750,4720,147000,5770
2017-10-24,NA,NA,-25.39244866,80.43383976,NA,0.037368034,0.261671632,0.06264172,1.19873085387169,14.72090548,1.6892444615,36.72672046,10.92485,28.73635,-4.07070012147771,3.8,0.5946875,229.949583333333,6620,43750,3200,171000,2070
